Sentiment Score,Sentiment Type,Very positive,Positive,Neutral,Negative,Very negative
2.0,Neutral,2.0%,25.0%,57.0%,14.0%,2.0%
3.0,Positive,13.0%,68.0%,13.0%,5.0%,2.0%
2.0,Neutral,5.0%,39.0%,41.0%,12.0%,3.0%
1.0,Negative,1.0%,2.0%,25.0%,62.0%,10.0%
1.0,Negative,1.0%,5.0%,42.0%,45.0%,7.0%
2.0,Neutral,1.0%,21.0%,70.0%,6.0%,1.0%
1.0,Negative,1.0%,2.0%,21.0%,62.0%,14.0%
2.0,Neutral,5.0%,42.0%,44.0%,7.0%,1.0%
1.0,Negative,1.0%,5.0%,40.0%,49.0%,5.0%
2.0,Neutral,1.0%,14.0%,62.0%,20.0%,2.0%
2.0,Neutral,0.0%,3.0%,89.0%,8.0%,0.0%
2.0,Neutral,3.0%,25.0%,48.0%,22.0%,3.0%
1.0,Negative,3.0%,20.0%,31.0%,40.0%,6.0%
2.0,Neutral,1.0%,13.0%,62.0%,22.0%,2.0%
2.0,Neutral,2.0%,20.0%,64.0%,12.0%,2.0%
2.0,Neutral,2.0%,7.0%,56.0%,29.0%,7.0%
2.0,Neutral,3.0%,43.0%,46.0%,8.0%,1.0%
2.0,Neutral,0.0%,6.0%,93.0%,1.0%,0.0%
1.0,Negative,1.0%,3.0%,22.0%,60.0%,12.0%
1.0,Negative,2.0%,7.0%,19.0%,57.0%,14.0%
1.0,Negative,1.0%,1.0%,15.0%,69.0%,14.0%
3.0,Positive,16.0%,78.0%,4.0%,1.0%,1.0%
1.0,Negative,1.0%,7.0%,30.0%,57.0%,5.0%
1.0,Negative,1.0%,4.0%,39.0%,49.0%,7.0%
2.0,Neutral,8.0%,28.0%,33.0%,23.0%,7.0%
2.0,Neutral,1.0%,5.0%,53.0%,37.0%,4.0%
1.0,Negative,4.0%,3.0%,9.0%,54.0%,30.0%
2.0,Neutral,5.0%,30.0%,34.0%,25.0%,6.0%
1.0,Negative,3.0%,8.0%,34.0%,43.0%,11.0%
1.0,Negative,1.0%,4.0%,22.0%,59.0%,13.0%
1.0,Negative,0.0%,1.0%,22.0%,69.0%,8.0%
2.0,Neutral,1.0%,5.0%,87.0%,6.0%,1.0%
1.0,Negative,1.0%,6.0%,38.0%,46.0%,8.0%
1.0,Negative,1.0%,3.0%,36.0%,54.0%,7.0%
1.0,Negative,3.0%,14.0%,35.0%,41.0%,7.0%
2.0,Neutral,1.0%,6.0%,48.0%,41.0%,4.0%
1.0,Negative,4.0%,18.0%,31.0%,39.0%,7.0%
2.0,Neutral,2.0%,20.0%,51.0%,23.0%,4.0%
3.0,Positive,7.0%,41.0%,39.0%,11.0%,2.0%
2.0,Neutral,1.0%,4.0%,54.0%,38.0%,3.0%
3.0,Positive,8.0%,59.0%,22.0%,9.0%,2.0%
2.0,Neutral,5.0%,28.0%,34.0%,27.0%,5.0%
3.0,Positive,15.0%,55.0%,19.0%,9.0%,3.0%
2.0,Neutral,3.0%,30.0%,56.0%,10.0%,1.0%
1.0,Negative,1.0%,2.0%,20.0%,55.0%,22.0%
3.0,Positive,9.0%,58.0%,23.0%,8.0%,2.0%
3.0,Positive,10.0%,64.0%,24.0%,2.0%,1.0%
2.0,Neutral,1.0%,5.0%,50.0%,40.0%,5.0%
1.0,Negative,3.0%,9.0%,19.0%,55.0%,14.0%
2.0,Neutral,2.0%,22.0%,75.0%,1.0%,0.0%
2.0,Neutral,2.0%,21.0%,58.0%,16.0%,3.0%
2.0,Neutral,1.0%,12.0%,45.0%,37.0%,4.0%
3.0,Positive,7.0%,40.0%,39.0%,11.0%,3.0%
2.0,Neutral,0.0%,4.0%,52.0%,42.0%,2.0%
